,name,group,ID,hem,metric,stream,point,values
100,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.10,bcnu,R83A,l,uFA,10,10,0.750376
101,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,1,0.349501
102,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,2,0.396111
103,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,3,0.38295
104,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,4,0.563238
105,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,5,0.714934
106,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,6,0.684771
107,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,7,0.735877
108,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,8,0.754802
109,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,9,0.724039
110,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.11,bcnu,R83A,l,uFA,11,10,0.738741
111,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,1,0.396111
112,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,2,0.367069
113,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,3,0.367069
114,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,4,0.520465
115,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,5,0.684771
116,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,6,0.708503
117,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,7,0.726267
118,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,8,0.724039
119,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,9,0.724039
120,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.12,bcnu,R83A,l,uFA,12,10,0.732497
121,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,1,0.397693
122,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,2,0.354108
123,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,3,0.480183
124,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,4,0.480183
125,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,5,0.708503
126,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,6,0.71955
127,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,7,0.715341
128,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,8,0.715341
129,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,9,0.732497
130,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.13,bcnu,R83A,l,uFA,13,10,0.762754
131,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,1,0.331351
132,bcnu_R83A_vn_l_dtd_covariance_uFA.txt.14,bcnu,R83A,l,uFA,14,2,0.454757
